,username,text,likes,date
78,@LizaRosen0000,"https://n.biendeo.com/YossiGoldstein8/status/1719532849508815162/video/1 Never forget! This is why we are in Gaza right now. Hamas started this war, murdered 1400 innocent people and kidnapped over two hundred more to Gaza. For the sake of future peace, Hamas must be destroyed!  The international community should call on Hamas to surrender and release all hostages immediately!",471,"Dec 7, 2023 · 11:39 PM UTC"
79,@canarymission,"Sarah Reeves, who was filmed ripping down posters of Israelis kidnapped by Hamas and employed as a research assistant @Berkeley Law, is no longer listed in the employee directory. https://canarymission.org/individual/Sarah_Reeves",2316,"Dec 8, 2023 · 1:00 AM UTC"
80,@GaryGevisser,It’s all on Israel; no one says Hamas should surrender.  It is incredible.  Reason for optimism.  Not to speak is to speak.,0,"Dec 8, 2023 · 3:55 AM UTC"
81,@OmarBaddar,"Since a friend who has nothing to do with Hamas has reported that his 13 year old nephew, brother & father have all been kidnapped by the Israeli military in Gaza, this is likely the mass arrest of random Palestinian civilian men and boys under the guise of a ""surrender.""",2453,"Dec 7, 2023 · 5:59 PM UTC"
82,@Windham9Paul,On this day that still lives in infamy we must recall our insistence on unconditional surrender as our mission in WW II.  Israel is in the same position today - the only option for them is total destruction of Hamas without condition.,0,"Dec 8, 2023 · 3:55 AM UTC"
83,@TheMossadIL,Hamas terrorists.   You have nowhere to hide.  Above ground or below.,12684,"Dec 7, 2023 · 5:29 PM UTC"
84,@muhammadshehad2,"🚨Israeli accounts are trying to spin the images of mass detention of Gazan civilians as ""Hamas militants"" (though can't agree on the location🤔)  Known journalists were identified among those detained in the *Jabalia refugee camp*  IDF is posting this cruelty as a victory image!",7708,"Dec 7, 2023 · 3:34 PM UTC"
85,@cfirgu,"***** "" hamas journalists"" in gaza .  There is nothing like capturing ""Journalists.  #HamasisISIS",0,"Dec 8, 2023 · 3:55 AM UTC"
86,@ChayaRaichik10,BREAKING: Refaat al-Ar’eer was killed in a strike today.  This was his response to reports of a baby being baked in an oven by Hamas:,15468,"Dec 7, 2023 · 10:12 PM UTC"
87,@3FTshirts,Can't beat hamas so you punish the civilians. Brave IDF cowards.,3613,"Dec 7, 2023 · 3:59 PM UTC"
88,@Smithaelias,"Because Hamas dors not release captives and surrender, simple",0,"Dec 8, 2023 · 3:55 AM UTC"
89,@OliLondonTV,"This was the Kedem family from Nir Oz. 🇮🇱  This entire family were murdered by Hamas on Oct 7th.   Tamar, Yonatan and their 3 young children Shachar, Arbil and Omar.   In a final text message to their worried friends, Tamar said: ""Hi guys, we got into the shelter in our house, we're all going okay.""  Moments later Hamas stormed in their home, entered their safe room and shot them all dead.   Source: Daily Mirror",20393,"Dec 7, 2023 · 5:58 AM UTC"
90,@canarymission,"🔴Jordan Vaughan, an organizer for Philly Palestine Coalition, led several rallies praising Hamas' war crimes. On Twitter, he posted a photo of Israeli Shani Louk, who was brutally killed by Hamas, & wrote, “Glad Hamas killed this b*tch cause what’s that?” https://canarymission.org/individual/Jordan_Vaughan",3131,"Dec 7, 2023 · 8:00 PM UTC"
91,@riznuh,"So, Israel can’t defeat hamas",0,"Dec 8, 2023 · 3:55 AM UTC"
92,@POTUS,Today I spoke with Prime Minister Netanyahu to express my concern for the remaining hostages — and to note that it was Hamas’s refusal to release women civilian hostages that broke down the humanitarian pause.  We will continue to pursue every opportunity to free them.,4812,"Dec 8, 2023 · 12:40 AM UTC"
93,@stairwayto3dom,"🚨🇮🇱 ISRAEL ARE LYING AGAIN!  ❌ Israel have been caught taking innocent civilians hostage.  ❌ They claim they captured ‘Hamas’ members, when in reality they are kidnapping CIVILIANS and JOURNALISTS!  ❌ Well known journalist, Diaa Al-Kahlot is among those that are captured. It’s been reported that his cousins and relatives are almost among them.  WE PRAY FOR THEIR SAFETY! 🙏",13762,"Dec 7, 2023 · 4:35 PM UTC"
94,@TheBabylonBee,Bill Cosby Joins Hamas So Feminists Will Stop Condemning Him For Rape https://buff.ly/3RqwYdY,77949,"Dec 4, 2023 · 9:34 PM UTC"
95,@SpencerGuard,"When prisoners surrender (some unofficial reports Hamas surrendered out of tunnels) or are captured, they are immediately searched. Many militaries have internal processes, in the U.S. military it is to search, silence, segregate, speed (to the rear for processing), & safeguard.",1393,"Dec 7, 2023 · 9:24 PM UTC"
96,@MehdiRizvi123,"🇵🇸🎥 | Look at this video, their smiles.. Now you understand the difference between how Hamas and the IOF treat hostages/prisoners  They call it propaganda and that they were forced to smile, yet at the same time they refuse to interview ever since that old woman was interviewed",3,"Nov 30, 2023 · 12:45 PM UTC"
97,@thornhillguy,you keep posting fake news wasn’t this man shot by Hamas? Hamas has been killing Palestinians trying to find safety.,0,"Dec 8, 2023 · 3:55 AM UTC"
98,@KassyDillon,"Together with a group of Arabs, I watched the 47-minute long video of Hamas murdering civilians.  Here’s what they thought:",2495,"Dec 8, 2023 · 12:44 AM UTC"
99,@DonDavies,"Israel is now using sophisticated technology to target and kill leading Gazan academics, authors, historians, poets, artists, journalists, teachers. These are not Hamas leaders. This is cultural genocide. The world must intervene to stop this brutal crime against humanity.",891,"Dec 8, 2023 · 12:52 AM UTC"
100,@RachaelThomasMP,Hamas is the only entity using rape and sexual violence as an act of war!   Why is that so hard to condemn?!,206,"Dec 7, 2023 · 8:16 PM UTC"
101,@Mohammadayaz312,"No hamas combattant would want to be taken alive with those Zionist pigs who might use the same US torture techniques. ""Better die fighting as a free man than live the life of a slave""  Those captured are not even combattants, they are regular family men, civilians.",0,"Dec 8, 2023 · 3:55 AM UTC"
102,@visegrad24,"After Israel flooding several Hamas tunnels, they had to go above ground.  And there they were no match for the IDF who captured several hundred suspected Hamas members today.  Israel’s ground invasion is now really picking up pace…",24164,"Dec 7, 2023 · 7:18 PM UTC"
103,@seedney,we have the names   they don’t even have proof those are Hamas; they just make up lies,0,"Dec 8, 2023 · 3:55 AM UTC"
