,username,text,likes,date
122,@trtworld,Spanish PM Pedro Sanchez stated that it was unacceptable for the international community to remain silent on Israel’s killing of civilians in Palestine’s Gaza while also criticising the position of other Spanish politicians,567,"Dec 7, 2023 · 1:05 PM UTC"
123,@richimedhurst,"Funny how ""Christian Zionism"" only exists in Western counties that want to control the Middle East.   Christians in Palestine, Syria, Lebanon, Iraq— the original Christians— have never heard of such garbage in their lives. Israel is an occupier and their enemy. It's that simple.",2413,"Dec 7, 2023 · 10:20 PM UTC"
124,@iyagovos,"Imagine giving a Games For Impact award and not letting folks talk about Palestine, unionisation or layoffs. What a farce.",356,"Dec 8, 2023 · 2:28 AM UTC"
125,@kunoichiBEY,"y'all can scramble and cry all you want, my support isn't beholden by celebrity's words on social media. it will always be:   Free Congo Free Tigray/Ethiopia  Free Sudan Free Palestine Free All of Africa Free EVERYBODY",21,"Dec 8, 2023 · 12:25 AM UTC"
126,@zei_squirrel,"Refaat Alareer, Palestinian writer and reporter from Gaza, before he was killed along with his family: ""If I get killed by Israeli bombs or my family is harmed, I blame Bari Weiss and her likes.""",3362,"Dec 7, 2023 · 9:07 PM UTC"
127,@sandygrains,List of sources providing ground reports from Palestine https://x.com/i/lists/1720777936343847219,37,"Nov 5, 2023 · 5:23 PM UTC"
128,@SaeedPa88978332,"This is a hate crime. At a time of great saddness within the community with events in the Palestine Occupied Territories, the Home Office, London Metropolitan Police and London Borough of Redbridge Council must intervene and place robust security measures at the school.",0,"Dec 8, 2023 · 3:38 AM UTC"
129,@DevitaASyam,"😒 This person doesn't know the term of ceasefire, his mother used to work with the UN to give an unfair decision to Palestine by making israeli illegal occupation appear to be owners of the land in Palestine.",0,"Dec 8, 2023 · 3:38 AM UTC"
130,@_nalg0tica_,stop saying “we have failed Palestine”! Palestinians have been fighting tirelessly for the right to live in the land they have lived in for generations for 75+ YEARS…it wasn’t until now that it got this much attention and this is the closest they’ve ever been to being free,19,"Dec 5, 2023 · 10:30 PM UTC"
131,@themarxistbarb,guts is still a smash hit album but spill!,0,"Dec 8, 2023 · 3:38 AM UTC"
132,@Megatron_ron,⚡️A picture of a Zionist soldier from the Givati ​​Brigade who suffered burns as a result of the battles taking place around Khan Yunis in the southern #Gaza Strip.,806,"Dec 7, 2023 · 8:28 PM UTC"
133,@AsifAliroxen,Thank you for supporting the holly land Palestine and peoples....,0,"Dec 8, 2023 · 3:38 AM UTC"
134,@DanMKervick,"For every Palestinian voice silenced, a thousand will step forward to speak in its place.  Gaza will be rebuilt. It will be beautiful, and the displaced will return to their homes.  Palestine will be free.",18,"Dec 8, 2023 · 3:00 AM UTC"
135,@UncaBill,"THERE WILL BE ""NO 'FROM THE RIVER TO THE SEA' "" !!  ISRAEL, YAHWEY'S CHOSEN, will drive all of HAMAS and PALESTINE into OBLIVION!   Armeggon is not as far away now! We ALL will see who WINS just as HE, GOD, has always done!",0,"Dec 8, 2023 · 3:38 AM UTC"
136,@lanapussykmana,"-my shift first before i call out, but the girl isn’t responded back yet which is why i haven’t yet, then said i should’ve called anyways to let them know that i “possibly” have coverage like HUH?!?",0,"Dec 8, 2023 · 3:38 AM UTC"
137,@April_Le_,"Confirming that she's read certain reviews also confirms that she's seen the criticism re: Palestine. Maintaining her silence about ANY of the genocide occurring is damning, but even more so when she's profiting in a country CURRENTLY genociding",2186,"Dec 7, 2023 · 5:08 PM UTC"
138,@ALATLTG,"oh this is evil, like pure evil",141805,"Dec 7, 2023 · 12:41 PM UTC"
139,@hamnazaman2,Israeli soldiers arrested little kids of Palestine 💔 they are terrified #FreePalestine #Israel #cease_fire_now #Gaza #WarCrimes #viralvideo,4,"Dec 8, 2023 · 3:35 AM UTC"
