,username,text,likes,date
104,@Angryman_J,"History will write that Egypt had the Nile River and Gaza died of thirst..  History will write that Saudi Arabia and the United Arab Emirates have oil seas, while Gaza has no fuel for an ambulance...  History will write that the Arabs have 4 million soldiers and they could not get even a single bullet into Gaza..  History will write that Saudi Arabia paid billions of dollars for entertainment and parties, and there was no bread or water in Gaza...  And history will write that Pakistan was made in the name of Islam and it did nothing to help their brothers in Gaza...  There will be accountability eventually for staying silent.",625,"Dec 7, 2023 · 11:02 AM UTC"
105,@hudabeauty,"I know you’re exhausted talking about Gaza, but the tipping point is here…..don’t stop",21151,"Dec 7, 2023 · 5:11 PM UTC"
106,@jacksonhinklle,💔🇵🇸 Footage circulated by Israeli media shows Israel’s military kidnapping Palestinians from Gaza and stripping them naked.,20888,"Dec 7, 2023 · 9:13 PM UTC"
107,@OliLondonTV,"Gaza on Oct 7th vs Now. ⬇️  2 months ago Palestinians took to the streets of Gaza celebrate the terrorists that massacred 1,200 people in Israel.   Today, IDF have detained many of those who committed the atrocities on that day from the Hamas Shejaiya Battalion.",21015,"Dec 7, 2023 · 5:17 PM UTC"
108,@muftimenk,"How is it that they’re allowed to say “flatten Gaza” without any  repercussions but the minute we highlight their atrocities, we are accused of inciting violence!",28739,"Nov 21, 2023 · 11:34 PM UTC"
109,@zoo_bear,"Refaat Alareer was killed by @Israel today.   In his recent interview in October,  ""There is no way out of Gaza. What should we do... drown? Commit mass suicide? Is this what Israel wants? And we're not going to do that.. I am an academic, Probably the toughest thing I have at home is an Expo Marker. But if the Israelis invade us, If they barge at us, open door to door to massacre us, I am going to use that Marker, Throw it at the Israeli soldiers, even if that is the last thing that I will be able to do. And this is the feeling of everybody in Palestine. We are helpless and we have nothing to lose""",2772,"Dec 7, 2023 · 9:06 PM UTC"
110,@fatuglyloser,Yeah bro the mess in the absolute shithole Gaza is McDonald’s responsibility to clean up,0,"Dec 8, 2023 · 3:46 AM UTC"
111,@Claire_V0ltaire,"“What Israel is doing in Gaza will make gazans hate Israelis more.”  Guess what breaching a wall and slaughtering entire families, torturing and raping women and burning children and taking hundreds as captives did to Israelis?  Did you think Israelis can’t feel pain?",489,"Dec 8, 2023 · 1:48 AM UTC"
112,@EladNehorai,"I don't remember where I read it, but I once that we only valorize resilience because we don't want to face the reality of why people are forced to be resilient.  This is heartbreaking beyond words, and it's happening to the entire population of Gaza.",9,"Dec 8, 2023 · 3:46 AM UTC"
113,@AlnaouqA,"Dr Refaat Alareer @itranslate123 has been assassinated now by Israel. Refaat is one of the founders of @WeAreNotNumbers and a very good friend. He authored many books and wrote tens of stories about Gaza.   Refaat’s assassination is tragic, painful and outrageous. It is a huge loss.",11779,"Dec 7, 2023 · 7:37 PM UTC"
114,@sahouraxo,"Israel is stripping Palestinian civilians naked on the streets of Gaza, kidnapping them, and taking them to an isolated area so it can mass execute them.  Read that again.",3709,"Dec 7, 2023 · 3:38 PM UTC"
